sale_id,model_id,sale_date,quantity,price_per_unit
1,1,2025-01-21,5,27950.95
2,2,2025-01-01,2,20391.66
3,3,2024-10-09,6,25462.8
4,4,2025-01-29,1,25737.52
5,5,2025-04-02,7,24736.78
6,6,2024-10-27,6,25891.35
7,7,2025-01-10,2,21143.1
8,8,2024-11-22,2,20099.41
9,9,2024-05-23,7,29562.56
10,10,2024-05-28,1,21397.9
11,11,2024-07-27,5,19076.92
12,12,2024-09-06,5,30575.29
13,13,2024-12-11,2,20288.87
14,14,2024-06-24,3,18608.22
15,15,2024-11-04,1,23620.06
16,16,2024-11-14,7,28805.1
17,17,2024-12-30,5,29525.97
18,18,2025-03-29,8,21441.59
19,19,2024-10-17,3,23850.45
20,20,2024-07-09,4,27338.18
